latitude;longitude;local;tipo;estado;fonte
41.1452048;-8.6173343;Bird;twoWheeledVehicle;parked;veiculos_porto
41.165535;-8.5883636;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1726799;-8.6883898;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1469978;-8.589673;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1501168;-8.6146392;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1454353;-8.6262884;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1570396;-8.6816797;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1495438;-8.6759481;Bird;twoWheeledVehicle;broken;veiculos_porto
41.1473465;-8.6606646;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1498146;-8.6064339;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1506043;-8.6260203;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1594742;-8.6835153;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1431809;-8.6093807;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1664358;-8.6489513;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1534195;-8.6054439;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1496612;-8.6053902;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1471291;-8.6205158;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1476253;-8.63234;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1543693;-8.673933;Bird;twoWheeledVehicle;parked;veiculos_porto
41.165266;-8.613595;Bird;bicycle;parked;veiculos_porto
41.1561165;-8.663825;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1493428;-8.6759908;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1638793;-8.6203008;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1595558;-8.6661258;Bird;twoWheeledVehicle;parked;veiculos_porto
41.140943;-8.617417;Bird;bicycle;parked;veiculos_porto
41.14767;-8.673123;Bird;bicycle;broken;veiculos_porto
41.1414757;-8.6024284;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1520523;-8.6175007;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1726;-8.6883877;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1538775;-8.6121563;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1554832;-8.629529;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1656456;-8.5883617;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1422462;-8.6152048;Bird;twoWheeledVehicle;onRoute;veiculos_porto
41.1461601;-8.6073227;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1431273;-8.6106683;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1538993;-8.6121873;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1506133;-8.6260135;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1642838;-8.6864882;Bird;twoWheeledVehicle;parked;veiculos_porto
41.142491;-8.6122962;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1488093;-8.6267838;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1473351;-8.660737;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1421852;-8.6069403;Bird;twoWheeledVehicle;broken;veiculos_porto
41.150427;-8.676602;Bird;bicycle;broken;veiculos_porto
41.1471898;-8.6100398;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1575977;-8.6276982;Bird;twoWheeledVehicle;parked;veiculos_porto
41.1454353;-8.6262951;Bird;twoWheeledVehicle;parked;veiculos_porto
