latitude;longitude;local;fonte;descricao;categoria
41.14863546;-8.58522536;Estação de Campanhã;poi_portodigital;Main station in the North of the country, getting all the traffic from the North, Minho and Douro lines and from suburban routes that converge on it. Located in the eastern part of the city, was inaugurated in 1877 and is the station with the largest passenger flow of Porto. It offers International, Alfa Pendular, Intercity, Interregional, Regional and Urban services, allowing connections to many destinations in the country and abroad. Has an interface with bus, metro and taxi service. It offers parking, Customer Support Office, ticket offices and ticketing machines, vending machines, toilets, waiting room, lockers, public phones, ATMs, car rental service and cafeteria. In this station you may also acquire the Andante. ;
41.15083719;-8.61092091;Parking Trindade Domus;poi_portodigital;Private underground car park located in the Trindade Domus building, next to the City Hall. 15 min fraction up to 0,50€, according to the parking length of time.;
41.23772139;-8.67119551;Lufthansa;poi_portodigital;"Company of German origin, it has an information and sales desk located in Francisco Sá Carneiro Airport.   
At this desk you can address issues related to the current status of a flight, network of routes, partners and alliances, luggage, check-in, family tips, business passengers and passengers with limited mobility, classes of travel, among others.  ";
41.23705579;-8.670605425;Iberia ;poi_portodigital;"Company of Spanish origin, it was founded in 1927 and has an information and sales desk located in Francisco Sá Carneiro Airport.   
At this desk you can address issues related to check-in, arrival and departure timetables, e-tickets, menus and on-board sales, luggage, different classes, among others.  ";
41.23697915;-8.67156029;Ryanair ;poi_portodigital;"Low cost airline, founded in 1985, departing from Francisco Sá Carneiro Airport to more than 30 destinations.
For any doubts or question, plus reservations, first go to their Internet website.";
41.23649507;-8.6710453;Azores Airlines;poi_portodigital;"SATA Air Açores subsidiary airline and licensed to operate flights outside the Azores.
Operating since 1941, it has departures from Francisco Sá Carneiro Airport to more than 10 national and international destinations.";
41.14825199;-8.61572742;Praça Carlos Alberto Parking ;poi_portodigital;Underground parking located next to the Church of Carmo and to the commercial street of Cedofeita with direct connection to Praça Gomes Teixeira and Clérigos Parkings.;
41.14728251;-8.61527681;Praça Gomes Teixeira Parking;poi_portodigital;Underground car park located in the well known Praça dos Leões, next to the Rectory of the University of Porto with direct connection to Praça Carlos Alberto and Clérigos Parkings.;
41.2371405;-8.67100239;Brussels Airlines;poi_portodigital;"Company of Belgian origin, it has approximately 80 years of experience resulting from various mergers.
It has an information and sales desk located in Francisco Sá Carneiro Airport.   
At this desk you can address issues related to luggage, check-in, travel documents, re-booking of flights, on-board services, unaccompanied minors, travel insurance, among others.  ";
41.15721897;-8.61772299;Águas Férreas Parking;poi_portodigital;Municipal car park located next to the Lapa metro station ;
41.1458533;-8.6146133;Praça de Lisboa Parking;poi_portodigital;Underground car park located in front of the Church and Tower of Clérigos with direct connection to Praça Carlos Alberto and Praça Gomes Teixeira Parkings.;
41.23623689;-8.67098093;TAP Portugal ;poi_portodigital;"Operating since 1945, it is a Portuguese airline which covers 65 destinations in 31 countries worldwide.
Elected in 2009 and 2010, as the Leading Worldwide Airline Company for South America, by World Travel Awards. 
It was also recognised by UNESCO and by the International Union of Geological Sciences with the awarding of the Planet Earth IYPE 2010 Award in the Most Innovative Sustainable Products category and it was distinguished by the prestigious magazine  Condé Nast Traveller magazine  as the Best Airline in the World, in 2010.
It has an information and sales desk located in Francisco Sá Carneiro Airport.   
At this desk you can address issues related to check-in, luggage, travel assistance, on-board services, flight timetables, different classes, among others.  
To contact TAP from abroad, call +351 218431148.";
41.15683123;-8.61375332;Lapa Parking ;poi_portodigital;Municipal car park located near the Church of Lapa.;
41.14288737;-8.60826015;Duque Loulé Parking;poi_portodigital;Municipal car park located next to the D. Fernando Wall and to the Guindais Funicular.;
41.15244077;-8.60683054;Silo Auto;poi_portodigital;Car park located in Bolhão area.;
41.14739562;-8.60896826;D. João I Parking;poi_portodigital;Located downtown in the city centre.;
41.14939918;-8.60452652;Via Catarina Parking;poi_portodigital;Private car park located in the Via Catarina Shopping Centre, next to the Chapel of Almas and to the Bolhão metro station.;
41.16214625;-8.60594273;Constituição Parking;poi_portodigital;Private car park located in the vicinity of the metro station Marquês.;
41.14616962;-8.60399008;Poveiros;poi_portodigital;Underground car park located near the Coliseu do Porto concert hall.;
41.15069177;-8.60961199;Trindade Parking;poi_portodigital;Municipal car park located near the Trindade metro station and the Town Hall;
41.16437552;-8.58444214;Dolce Vita Parking;poi_portodigital;Dolce Vita Shopping Centre private car park, next to the Dragão Stadium, in the eastern area of the city.;
41.16343859;-8.60523462;Visconde Setúbal Parking;poi_portodigital;Private car park located in the vicinity of Quinta do Covelo park and of the metro station Marquês.;
41.16036924;-8.58259678;Metro Parking  Estádio do Dragão ;poi_portodigital;Private car park near the metro station Estádio do Dragão.;
41.142327;-8.6129161;Largo do Colégio;poi_portodigital;View over the houses extending down to the River Douro, having as background the river side in Vila Nova de Gaia.;
41.14867209;-8.58579397;Campanhã Parking;poi_portodigital;"Private car park located near the Campanhã railway station.
It has a special price for holders of tickets Alfa Pendular and Intecidades. 15 min fraction up to 0,90€, according to the parking length of time.";
41.14174006;-8.60929012;View point – D. Fernando Wall - Guindais;poi_portodigital;From this stretch of the wall one can see the Douro River from the D. Maria Pia Bridge, passing by the Luis I Bridge and the Guindais funicular, up to the Cais de Gaia.;
41.162974157;-8.601565359;Académico Futebol Clube;poi_portodigital;"Century-old institution founded in 1911, with deep-roots and well ingrained in the promotion of sports, with a privileged complement in human training, integrating physical, behavioural and leisurely aspects.   
It is possible to practise many forms of sports such as aikido, handball, basketball, billiards, African dances, school sports, gymnastics, Goalball, hip hop, roller hockey, karate, kung fu, taekwondo, and archery.
";
41.144301279;-8.618519605;Virtudes Sidewalk;poi_portodigital;"The lane has an excellent view over the river, down to the river Douro mouth bar.
In the foreground one can see the Fountain of Virtudes and the terraces that go all the way down to São Pedro de Miragaia. Along the river, it is possible to see the imposing building of the former Customs House.

";
41.14342062;-8.61572742;View point – Church of Nossa Senhora da Vitória;poi_portodigital;From the square next to this church, you can enjoy an interesting view of the Cathedral and the Bishop s Palace, over the houses of the parish of Vitória, as well as over the River Douro, the D. Luis I Bridge and the Gaia riverside.;
41.147880355;-8.627915382;View point – Quinta da Macieirinha;poi_portodigital;With the mouth of the Douro River as a backdrop, the frame provided by the Arrábida Bridge, makes this landscape unique at sunset.;
41.142046707;-8.617974916;D. Fernando Wall - Caminho Novo Stairway;poi_portodigital;Descending by the narrow stairway, surrounded by the wall and the houses of Miragaia, you can see a small part of the slope of Gaia.;
41.14590906;-8.62770081;View point – Gardens of Palácio de Cristal ;poi_portodigital;"A garden in a privileged location with many small viewpoints.
With the River Douro in the background, the Serra do Pilar, the former Customs House building, can be seen from these gardens as well as all the riverside area of Vila Nova de Gaia down to the mouth of the river, standing out the Arrábida Bridge.

";
41.14951228;-8.61087799;View point – Tower of the Porto City Hall;poi_portodigital;"Privileged view over Avenida dos Aliados  avenue , covering the water mirror, in the centre, and the set of trees along the avenue, as designed by the architects Álvaro Siza Vieira and Souto Moura.
At its bottom we can see Praça da Liberdade  square , with special mention to the Cardosas Palace.
From this tower one can also see the upper part of the city of Vila Nova de Gaia, on the other side of the river Douro, including the building of El Corte Inglés and the tower of Monte da Virgem.

Visits to the tower take place on the 1st Sunday of every month and must be booked in advance.";
41.142600536;-8.60130116;Fontaínhas;poi_portodigital;From this location, next to the Infante Bridge, one can enjoy the view over Vila Nova de Gaia, on the other side of the river, and a partial view of the D. Luís I Bridge, a popular spot to watch the São João fireworks.;
41.16112851;-8.60499859;Tower of the Church of Senhora da Conceição;poi_portodigital;"One of the city’s highest view points, from where you can see, besides the city centre, the mouth of the river Douro and the city of Vila Nova de Gaia.
Special mention goes to Praça Marquês de Pombal and the church yard.
To get to the top you have to climb a magnificent stairway and pass the tower clock machine and its bells.";
41.14539199;-8.62512589;View point – Restauração;poi_portodigital;View point on Rua da Restauração, by the crossroads with Rua Jorge Viterbo Ferreira, from where you can admire the landscape from the Gaia Quay up to the Arrábida Bridge.;
41.23786662;-8.66941452;Aeroporto  Francisco Sá Carneiro Parking;poi_portodigital;"The official Porto Airport car parks  underground and open air mixture  offer a variety of parking solutions: Premium option  covered parking with direct access to departures   Executive option  covered parking with direct access to arrivals , Classic option  open-air parking, free shuttle and reserved seating , Low Cost and Low Cost Plus option  open-air parking and online exclusive  and ValetXpress option  premium parking service with the parking of the car in an exclusive area .  
Licensed to the company Empark  www.emparque.pt .  ";
41.1594523;-8.6385218;Solinca Porto Palácio Hotel;poi_portodigital;Club located in the Boavista area, with a cosy atmosphere, offers the following services: SPA  with sauna, Turkish bath, jacuzzi, health and beauty treatments , state-of-the-art equipment, group classes, pools for swimming and aquaerobics, and a hydrotherapy pool.;
41.14450326;-8.60632896;Sporting Clube Vasco da Gama;poi_portodigital;Founded in 1920, it is dedicated to supporting youths who turn to basketball as a way to meet their sporting needs.;
41.16732555;-8.59028131;Estrela e Vigorosa Sport;poi_portodigital;Its objective is to offer a variety of sports suitable to all of those who are interested.  Estrela e Vigorosa Sport maintain sports activities organised according to their sports departments, such as handball, motor racing, camping, adapted sports, gym activities, roller hockey, women s water polo and tennis.;
41.1539661;-8.6287954;Academia de Artes do Porto ;poi_portodigital;"Modern space with music and natural light, providing various types of sports including step, gymnastics, hip-hop, karate, capoeira, aero dance and body combat.   
It offers services such as a bar, a low-calories-natural bar and a sports boutique.  ";
41.1472917;-8.6065551;Sport Club do Porto;poi_portodigital;"Founded in 1904, its statutes are aimed at the advancement of sports with the motto  MENS SANA IN CORPORE SANO.   br 
It has dedicated itself to more than 30 sports, and has stood out at national and international level in the following sports: rowing, gymnastics, athletics, sailing, handball, shooting, field hockey, horse riding, swimming, motor racing, weightlifting, karate, tennis and fencing.";
41.163514139;-8.643982256;Federação Portuguesa de Canoagem ;poi_portodigital;The Portuguese Federation of Canoeing has, as its main objective, the promotion and regulation of canoeing in all its aspects and specialties.;
41.1936107;-8.7070845;Clube de Vela Atlântico ;poi_portodigital;Located in Leça da Palmeira, the Clube de Vela Atlântico has a sailing school that aims to train sailors with a spirit of moral integrity and healthy camaraderie.  ;
41.15915761;-8.6841774;View point – Molhe;poi_portodigital;"Over the Molhe beach, this large space with park benches is used for sports practice and for small events.
It offers a view of the entire coastal area of Foz.

";
41.14957691;-8.63585472;View point – Via Panorâmica;poi_portodigital;From here one can see the Gaia riverside down to Afurada, highlighting the Arrábida Bridge.;
41.16225933;-8.57058048;Futebol Clube do Cerco Do Porto;poi_portodigital;Settled in 1966, this club is dedicated to football 11.;
41.14256418;-8.61304522;Arch or Door of Sant’Ana ;poi_portodigital;"The Arco  arch  or Porta  door  of Sant’Ana das Aldas, was one of the four doors of the old Porto borough, giving access to the river and to the merchant area.
The Arch was of simple architecture:  a bit narrow, winding and tall. However, its special nature and form gave the old street an extremely gracious, picturesque and original character. 
The demolition of the Arch started in June 1821. As a remembrance of the Saint from which the Arch was named after, there is only a small image placed on a small sanctuary of glazed wood.  It can still be seen today hanging or carved on the wall by the stone stairs that lead from Rua de Sant’Ana to Rua da Pena Ventosa. 




";
41.16862385;-8.68992269;View point – Fort São Francisco Xavier  Cheese Castle ;poi_portodigital;Located on the rocky beach of Castelo do Queijo. This area provides a wide panoramic view that extends from the beach of Matosinhos and the famous sculpture of the Anemone, passing through the transparent building and the City Park, down to the ocean.;
41.142944138;-8.613464109;Aero Clube do Porto;poi_portodigital;"Aerodrome in Maia.
It has a runway which is 1700m long, 30m wide and that has an incline of 1.2%.  It is limited to light aviation.";
41.14960923;-8.65154028;View point – Chapel of Santa Catarina and Senhora dos Anjos;poi_portodigital;Located in one of the highest points in the parish of Lordelo do Ouro it offers a comprehensive view of the Douro River estuary, including the Garden of Calém, and reaching the sea.;
40.9722148;-8.6416608;Espinho Aerodrome;poi_portodigital;"Certified runway for motorized light and ultralight aircrafts, the strip is 465m x 38m, asphalt, with a resistance of 17 ton/r.i.s.
There are no radio assistance or radio frequency. The airfield has a pilot room, briefing room, classroom and fuel/oil depot and two hangars. The Aero Clube da Costa Verde Complex includes a aeromodelling field, horse riding centre and restaurant.";
41.14123911;-8.59560013;Colégio dos Órfãos;poi_portodigital;"View over the famous Ponte D. Maria Pia, by Gustave Eiffel, and the São João Bridge, both dedicated to rail transport, although the first is now disabled.

";
